Index,movie_title,genres,title_year,imdb_score,num_critic_for_reviews,duration,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio,movie_facebook_likes,color,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,director_name,director_facebook_likes
1,A.I._Artificial_Intelligence,Adventure|Drama|Sci-Fi,2001,7.1,281,146,78616689,238747,6217,0,affection|boy|fairy|future|robot,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,2153,English,USA,PG-13,100000000,1.85,11000,Color,Haley_Joel_Osment,3000,William_Hurt,882,Kevin_Sussman,681,Steven_Spielberg,14000
2,A_Beautiful_Mind,Biography|Drama,2001,8.2,205,135,170708996,610568,2827,0,conspiracy|cryptography|mathematician|mental_illness|nobel_prize,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,58000000,1.85,29000,Color,Adam_Goldberg,1000,Austin_Pendleton,592,Judd_Hirsch,535,Ron_Howard,2000
3,A_Beginner's_Guide_to_Snuff,Comedy|Horror|Thriller,2016,8.7,N\A,87,N\A,13,1270,0,N\A,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,N\A,English,USA,N\A,N\A,N\A,8,Color,Kimberley_Crossman,467,Luke_Edwards,258,Bree_Williamson,165,Mitchell_Altieri,9
4,A_Better_Life,Drama|Romance,2011,7.2,94,98,1754319,13174,2214,0,gang|gardener|money|police|truck,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81,English,USA,PG-13,10000000,1.85,0,Color,Demián_Bichir,749,Eddie_'Piolin'_Sotelo,252,Robert_Peters,221,Chris_Weitz,129
5,A_Bridge_Too_Far,Drama|History|War,1977,7.4,56,175,50800000,40277,669,14,airborne_troops|allies|operation_market_garden|panzer|paratrooper,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,English,USA,PG,26000000,2.35,0,_Black_and_White,Ryan_O'Neal,385,Dirk_Bogarde,232,Wolfgang_Preiss,14,Richard_Attenborough,0
18,A_Fine_Step,Drama,2014,5.3,1,111,N\A,207,2677,0,N\A,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,N\A,USA,PG,1000000,N\A,212,N\A,Justin_Baldoni,657,Luke_Perry,608,Leonor_Varela,426,Jonathan_Meyers,0
7,A_Charlie_Brown_Christmas,Animation|Comedy|Family,1965,8.4,43,25,N\A,21826,139,0,christmas|christmas_tree|commercialism|meaning_of_christmas|tree,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,English,USA,TV-G,150000,1.33,0,Color,Peter_Robbins,39,Bill_Melendez,36,Christopher_Shea,27,Bill_Melendez,36
8,A_Christmas_Carol,Animation|Drama|Family|Fantasy,2009,6.8,240,96,137850096,72809,48878,0,charles_dickens|christmas|christmas_eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2.35,0,Color,Robin_Wright,18000,Colin_Firth,14000,Gary_Oldman,10000,Robert_Zemeckis,0
9,A_Christmas_Story,Comedy|Family,1983,8.1,109,94,N\A,104908,2076,0,bb_gun|boy|bully|christmas|tongue_stuck_on_a_pole,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,458,English,USA,PG,4000000,1.85,18000,Color,Zack_Ward,662,Darren_McGavin,577,Scott_Schwartz,378,Bob_Clark,84
10,A_Cinderella_Story,Comedy|Family|Romance,2004,5.9,69,95,51431160,62861,3092,2,cinderella_story|correspondence|evil_step_mother|female_protagonist|teenage_girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,232,English,USA,PG,20000000,1.85,0,Color,Dan_Byrd,1000,Lin_Shaye,852,Julie_Gonzalo,528,Mark_Rosman,15
